           1            1            1            1            1            1            1            1            1            1 
           1            1            1            1            1            1            1     0.495542      0.49278     0.499769 
    0.493816     0.499867     0.493167     0.495748     0.490733            1            1        0.499     0.490614     0.494752 
    0.496175     0.490578       0.4939     0.497921     0.492727            1            1     0.495408     0.499992     0.496001 
    0.490168     0.494367     0.491668     0.494323     0.496735            1            1     0.496663     0.490078     0.499533 
    0.495332     0.496146     0.498266     0.499687     0.494296            1            1     0.498571     0.493825     0.490262 
    0.491401      0.49984     0.496089     0.491577     0.494792            1            1     0.493491     0.493883     0.497672 
    0.493197     0.497691     0.498178     0.495502     0.490388            1            1     0.499436     0.499929     0.499094 
    0.495495      0.49759     0.492446     0.496048     0.491555            1            1            1            1            1 
           1            1            1            1            1            1            1            1            1            1 
